Team_code,Rank,Team,P,W,D,L,GF,GA,GD,Pts,PPG,Tackles pg,Interceptions pg,Fouls pg,Clean Sheets,DefRating,Shots pg,Discipline,Possession%,PassSuccess%,AerialsWon,AttRating
7,1,Leicester City,38,23,12,3,68,36,32,81,2.13,13.6,22.9,21.6,15,1.3,13.7,483,44.8,70.5,18.8,7.06
1,2,Arsenal,38,20,11,7,65,36,29,71,1.87,11.8,18.6,19.4,18,2.3,15.1,404,56.9,84.2,15.2,7.08
14,3,Tottenham,38,19,13,6,69,35,34,70,1.84,11.1,21.1,17,13,1.9,17.3,720,55.3,80.5,14.3,7.01
9,4,Manchester City,38,19,9,10,71,41,30,66,1.74,8.9,19.2,16.6,16,1.7,16.2,610,55.2,83.1,15.7,7.01
10,5,Manchester Utd,38,19,9,10,49,35,14,66,1.74,10.8,20,15.6,18,2,11.3,651,55.9,82.3,13.1,6.83
13,6,Southampton,38,18,9,11,59,41,18,63,1.66,12.2,18.8,18.6,,2.6,13.7,576,49.3,77.7,19.3,6.91
20,7,West Ham Utd,38,16,14,8,65,51,14,62,1.63,10.5,22.9,14.5,,2.4,14.7,585,49.1,77.6,17.7,6.92
8,8,Liverpool,38,16,12,10,63,50,13,60,1.58,13.7,18.7,17.5,,2.2,16.6,613,55,80.2,16.5,6.91
15,9,Stoke City,38,14,9,15,41,55,-14,51,1.34,14.1,18.7,15.2,,2.7,11,514,50,79.1,16.4,6.74
4,10,Chelsea,38,12,14,12,59,53,6,50,1.32,12.7,20.8,13.6,,2.4,13.8,585,54.4,82.5,14.1,6.87
6,11,Everton,38,11,14,13,59,55,4,47,1.24,14.6,19.2,13.4,,1.4,12.9,445,51.5,81.4,12.8,6.88
17,12,Swansea City,38,12,11,15,42,52,-10,47,1.24,13.7,16.8,17.9,,2.2,11.6,601,52,80.9,13.7,6.75
18,13,Watford,38,12,9,17,40,50,-10,45,1.18,13.2,20.9,20.2,,1.4,11.7,733,46.3,72.6,17.4,6.8
19,14,West Bromwich,38,10,13,15,34,48,-14,43,1.13,14.4,16.9,19,,1.8,10.2,653,42.2,70,19.1,6.72
5,15,Crystal Palace,38,11,9,18,39,51,-12,42,1.11,14.9,17.1,18.4,,2.1,12.3,602,46.8,74.4,17.8,6.76
3,16,Bournemouth,38,11,9,18,45,67,-22,42,1.11,11.6,18.6,16.8,,1.7,12.2,531,51,79.8,15.3,6.71
16,17,Sunderland,38,9,12,17,48,62,-14,39,1.03,15,20.2,14.9,,2.3,11.6,642,43.3,71,17.3,6.76
11,18,Newcastle Utd,38,9,10,19,44,65,-21,37,0.97,14.5,20.8,16.9,,1.6,10.4,605,47.4,76.6,13.9,6.73
12,19,Norwich City,38,9,7,22,39,67,-28,34,0.89,12.9,16,12.4,,2.4,11,613,46.5,73.6,17.4,6.61
2,20,Aston Villa,38,3,8,27,27,76,-49,17,0.45,13.2,19.2,20.2,,1.1,10,753,47.3,77.8,19.1,6.69
